Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
1,CNU Kede FM ,85.00,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
2,RBC Joy FM,87.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
3,CRI HIT FM,88.70,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
4,CNR Music,90.00,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
5,CRI News,90.50,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
6,CRI EasyFM,91.50,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
7,Yanqing Radio,92.80,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
8,Shunyi Radio,92.90,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
9,Miyun Radio,94.10,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
10,CNR Economic,96.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
11,RBC Music,97.40,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
12,RBC Fresh Radio,98.20,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
13,Daxing Radio,98.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
14,CNR Communication,99.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
15,RBC News,100.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
16,Huairou Radio,101.30,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
17,CNR Golden Radio,101.80,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
18,RBC Sport,102.50,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
19,Changping Radio,103.10,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
20,RBC Communication,103.90,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
21,CNR Voice of China,106.10,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
22,CNR Art,106.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
23,RBC Public Service,107.30,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
24,Tongzhou Radio,107.70,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
