Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
1,RBC Joy FM,87.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
2,CRI HIT FM,88.70,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
3,CNR Music,90.00,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
4,CRI News,90.50,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
5,CRI EasyFM,91.50,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
6,Yanqing Radio,92.80,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
7,Shunyi Radio,92.90,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
8,Miyun Radio,94.10,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
9,CNR Economic,96.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
10,RBC Music,97.40,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
11,Daxing Radio,98.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
12,CNR Communication,99.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
13,RBC News,100.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
14,Huairou Radio,101.30,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
15,CNR Golden Radio,101.80,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
16,RBC Sport,102.50,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
17,Changping Radio,103.10,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
18,RBC Communication,103.90,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
19,CNR Voice of China,106.10,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
20,CNR Art,106.60,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
21,RBC Public Service,107.30,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
22,Tongzhou Radio,107.70,,0,,88.5,88.5,23,NN,WFM,100,,,,,,
