Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VH1,145.210000,,0.000000,,136.5,136.5,023,NN,FM,10.00,,,,,
2,VH2,145.310000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
3,VH3,145.410000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
4,VH4,145.510000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
5,U1,433.410000,,0.000000,,136.5,136.5,023,NN,FM,10.00,,,,,
6,U2,433.430000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
7,U3,433.510000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
8,U4,433.530000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
9,VL1,52.210000,,0.000000,,136.5,136.5,023,NN,FM,10.00,,,,,
10,VL2,52.310000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
11,VL3,52.410000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
12,VL4,52.510000,,0.000000,TSQL,136.5,136.5,023,NN,FM,10.00,,,,,
13,D1,434.810000,,0.000000,,136.5,136.5,023,NN,DMR,10.00,,Color Code 7,,,
14,D2,434.830000,,0.000000,,136.5,136.5,023,NN,DMR,10.00,,Color Code 7,,,
